customerid,firstname,lastname,fullname,streetaddress,city,state,zipcode,email,phonenumber,firstpurchasedate,subscribedtoemaillist,gender
386950,Sheri,O'Brian,Sheri O'Brian,5649 Proper Ct,Sacramento,CA,94274,o'brians76@hotmail.com,(916) 899-7068,1/26/2013,TRUE,F
390130,Sab,Shimono,Sab Shimono,2316 Akins Ct,Sacramento,CA,95864,sshimono@hotmail.com,(916) 428-0825,4/1/2013,TRUE,M
393120,Lula,Hsu,Lula Hsu,9127 Deer Fern Ct,Rancho Cordova,CA,95741,lulah@outlook.com,(916) 618-8114,1/27/2013,TRUE,F
393893,Donald,Butler,Donald Butler,7465 Bevil St,Fair Oaks,CA,95628,b_donald@mail.com,(916) 386-4729,9/8/2013,TRUE,M
395125,Rowland,Office,Rowland Office,1070 Bandon Way,Sacramento,CA,95825,rowland_o25@gmail.com,(916) 623-2326,8/30/2013,TRUE,M
396166,Nina,Sanders,Nina Sanders,1750 Villajoy Way,Sacramento,CA,94258,s.nina@icloud.com,(916) 930-2829,6/27/2013,TRUE,F
403000,Teresa,Wilber,Teresa Wilber,5557 Old Kent Ln,Sacramento,CA,94244,teresaw@outlook.com,(916) 253-2759,6/28/2013,TRUE,F
404678,Anna,Kirk,Anna Kirk,6693 Goldsboro Ct,Folsom,CA,95630,kirk_a@yahoo.com,(916) 658-3520,11/28/2012,TRUE,F
405322,Phil,Tayag,Phil Tayag,5939 De Rosa Ct,Sacramento,CA,94298,t.phil@zoho.com,(916) 857-7371,8/26/2012,TRUE,M
405671,Toni,Case,Toni Case,1130 Deer Lake Dr,Sacramento,CA,95812,tcase92@mail.com,(916) 460-4193,4/26/2013,TRUE,F
407605,Leland,Glass,Leland Glass,2047 Historic Aly,Sacramento,CA,94248,lglass52@mail.com,(916) 511-8900,4/27/2013,FALSE,M
408341,Emily,Fender,Emily Fender,4793 Fox Hollow Ln,Sacramento,CA,94291,e_fender5@gmail.com,(916) 320-0106,8/21/2012,FALSE,F
409910,Lester,Holt,Lester Holt,8563 Bailey Way,Sacramento,CA,95851,lesterh@hotmail.com,(916) 786-8346,11/22/2012,FALSE,M
412235,Olivia,Fulks,Olivia Fulks,4511 E Socap Walk,Sacramento,CA,94246,fulks.o81@fastmail.com,(916) 192-6985,8/2/2013,TRUE,F
412544,Jay,Hughes,Jay Hughes,5622 Mathews Way,Sacramento,CA,94280,hughes.j74@mail.com,(916) 826-4425,6/29/2013,TRUE,M
412876,Leila,Olson,Leila Olson,6584 Roseville Rd,Sacramento,CA,95865,olson_l@hotmail.com,(916) 273-8647,3/20/2013,TRUE,F
412929,Ashley,Boyd,Ashley Boyd,8949 Colgate Ct,Sacramento,CA,94273,boyd.a@icloud.com,(916) 112-2328,4/3/2013,TRUE,F
413292,Verna,Drayton,Verna Drayton,9115 Fawnridge Way,Sacramento,CA,95822,v.drayton@icloud.com,(916) 346-0567,7/21/2012,FALSE,F
413495,Jeremy,Powell,Jeremy Powell,3118 Lakewood Rd,Sacramento,CA,94239,powellj@mail.com,(916) 463-3419,7/27/2012,TRUE,M
414509,Amanda,Blake,Amanda Blake,8755 Castro Way,Sacramento,CA,94269,b_amanda@aol.com,(916) 846-0091,4/25/2013,TRUE,F
415869,Joyce,Fulks,Joyce Fulks,9600 Andrea Blvd,Sacramento,CA,94205,fjoyce@outlook.com,(916) 147-2585,2/8/2013,FALSE,F
416523,Lynne,Metz,Lynne Metz,9386 Down River Ct,Citrus Heights,CA,95610,l.metz@yahoo.com,(916) 136-4983,10/2/2012,TRUE,F
417823,Joyce,Krieg,Joyce Krieg,8319 Delcliff Cir,Sacramento,CA,94211,kriegj39@yahoo.com,(916) 694-5241,12/25/2012,TRUE,F
418506,Dusty,Baker,Dusty Baker,4248 Mullein Ct,Rio Linda,CA,95673,bdusty@hotmail.com,(916) 368-8556,2/16/2013,TRUE,M
418521,Holly,Jacobsen,Holly Jacobsen,2319 Cannon St,Sacramento,CA,95812,h_jacobsen@outlook.com,(916) 248-7994,4/22/2013,TRUE,F
418635,Scott,Schwartz,Scott Schwartz,9396 Danbrook Dr,Sacramento,CA,94287,sschwartz25@gmail.com,(916) 450-0638,10/17/2012,FALSE,M
420981,Tom,Johnson,Tom Johnson,5531 Delagua Way,Sacramento,CA,95842,tom.j51@fastmail.com,(916) 149-1396,6/26/2013,TRUE,M
421074,N.T.,McQueen,N.T. McQueen,4900 Monument Dr,Sacramento,CA,94235,n.t._m@zoho.com,(916) 564-9705,11/29/2012,FALSE,M
422592,Pete,Dexter,Pete Dexter,5731 Princeton St,Sacramento,CA,95816,pete.d@fastmail.com,(916) 426-0047,9/13/2012,FALSE,M
422717,April,Kalvert,April Kalvert,3722 Floxtree Ct,Sacramento,CA,95867,kalverta73@mail.com,(916) 917-9060,10/27/2012,FALSE,F
422951,Mandisa,Hundley,Mandisa Hundley,3653 Bakula Way,Sacramento,CA,95823,m_hundley@mail.com,(916) 167-8877,11/12/2012,FALSE,F
425051,Charlie,Peacock,Charlie Peacock,5356 Gleneagle Way,Sacramento,CA,95831,charlie.p@mail.com,(916) 541-4431,3/5/2013,FALSE,M
426830,Malcom,Floyd,Malcom Floyd,7936 Woody Ct,Carmichael,CA,95609,floyd_m@outlook.com,(916) 523-6899,11/2/2012,TRUE,M
426984,Seneca,Wallace,Seneca Wallace,6296 Fowler Ave,Sacramento,CA,94298,w.seneca@zoho.com,(916) 272-0336,2/13/2013,TRUE,M
427391,Dale,Maharidge,Dale Maharidge,6027 Derby Park Ct,McClellan,CA,95652,m.dale@outlook.com,(916) 967-2079,7/15/2013,TRUE,M
427826,Rufus,Reid,Rufus Reid,9681 Torino Way,Sacramento,CA,94208,r.reid4@zoho.com,(916) 828-7831,2/18/2013,TRUE,M
429748,Kevin,Goldthwaite,Kevin Goldthwaite,7412 Auntine Burney S,Sacramento,CA,95899,gkevin@gmail.com,(916) 910-0083,11/6/2012,TRUE,M
432113,Harold,Green,Harold Green,1426 Harvey Way,Sacramento,CA,95812,h.green@mail.com,(916) 112-4690,8/3/2012,FALSE,M
432268,Aaron,Garcia,Aaron Garcia,1802 Ozro Ct,Sacramento,CA,94269,aaron.g@zoho.com,(916) 398-1311,1/22/2013,FALSE,M
433442,Pauline,Justis,Pauline Justis,269 Bradford Dr,Ryde,CA,95680,pauline.j@mail.com,(916) 638-4801,6/26/2013,FALSE,F
435907,Jennie,Yates,Jennie Yates,6305 Barnaby Ct,Elverta,CA,95626,jenniey64@yahoo.com,(916) 302-9549,8/18/2012,TRUE,F
437454,Doug,Henry,Doug Henry,8046 William Bird Ave,Sacramento,CA,94235,dough@mail.com,(916) 495-5277,5/11/2013,FALSE,M
441628,Sheri,Asberry,Sheri Asberry,5648 Alturas Way,Sacramento,CA,95852,a.sheri@mail.com,(916) 652-4062,12/26/2012,TRUE,F
442254,Ann,Lane,Ann Lane,3371 PO River Way,Sacramento,CA,94258,a.lane@zoho.com,(916) 903-7266,8/29/2013,TRUE,F
442691,Rosemary,Shafer,Rosemary Shafer,7404 Ruger Ct,Sacramento,CA,94279,srosemary@icloud.com,(916) 787-3011,9/15/2013,FALSE,F
447368,Gerald,Willhite,Gerald Willhite,317 Sorenson Way,Sacramento,CA,95838,gerald_w@mail.com,(916) 147-7970,9/1/2012,TRUE,M
447601,Anthony,Kennedy,Anthony Kennedy,2023 Tiogawoods Dr,Rancho Murieta,CA,95683,a_kennedy17@mail.com,(916) 947-9551,8/24/2012,TRUE,M
448739,Jim,Breech,Jim Breech,3937 Glynis Falls Ct,Sacramento,CA,94247,jbreech@icloud.com,(916) 565-2024,2/1/2013,TRUE,M
448993,Rachel,Jim,Rachel Jim,3791 Court Pkwy,Sacramento,CA,94252,rachelj@hotmail.com,(916) 332-9620,6/29/2013,TRUE,F
452874,Craig,Chaquico,Craig Chaquico,7191 Shoal Ct,Sacramento,CA,94262,c_chaquico31@icloud.com,(916) 766-5960,7/9/2013,TRUE,M
454015,Tony,Lopez,Tony Lopez,2501 Orrington Cir,Sacramento,CA,95831,l_tony@mail.com,(916) 566-4661,10/22/2012,TRUE,M
454143,Joey,Hand,Joey Hand,4235 Blues Aly,Antelope,CA,95843,j_hand@icloud.com,(916) 820-8532,7/15/2013,TRUE,M
456457,Edith,Alcorn,Edith Alcorn,8075 Huckleberry Ln,Sacramento,CA,94295,alcorn.e@outlook.com,(916) 905-6054,10/22/2012,FALSE,F
458448,Robin,Casiano,Robin Casiano,9977 Twin Trails Dr,Sacramento,CA,94211,casiano.r@outlook.com,(916) 757-2307,7/23/2013,FALSE,F
459243,Marcus,McCauley,Marcus McCauley,7210 Payton St,Rio Linda,CA,95673,mccauley_m@yahoo.com,(916) 839-9724,2/14/2013,FALSE,M
464277,Mike,Thomas,Mike Thomas,1864 Serenata Ct,Sacramento,CA,94252,m.thomas89@gmail.com,(916) 416-8769,7/14/2013,FALSE,M
464782,Mary,Youngblood,Mary Youngblood,2319 Sunnyfield Way,Sacramento,CA,95852,youngblood.m@mail.com,(916) 930-3776,4/10/2013,FALSE,F
464984,Kevin,Johnson,Kevin Johnson,2423 Spring Azure Way,Sacramento,CA,95833,kevin.j@yahoo.com,(916) 408-1339,7/31/2012,FALSE,M
465275,Jill,Hollenbeck,Jill Hollenbeck,5720 Ada Ln,Sacramento,CA,95838,jill_h3@gmail.com,(916) 158-3380,8/22/2012,FALSE,F
468100,Buck,Martinez,Buck Martinez,3346 Essen Way,Elk Grove,CA,95624,b.martinez@aol.com,(916) 573-3582,9/30/2012,TRUE,M
468692,Betsy,Sodaro,Betsy Sodaro,4962 Becerra Way,Sacramento,CA,94277,sodaro_b@yahoo.com,(916) 487-0833,6/15/2013,TRUE,F
469564,Elsie,Slone,Elsie Slone,1970 Salt Ct,Rio Linda,CA,95673,e_slone@gmail.com,(916) 453-9270,7/1/2013,TRUE,F
470304,Adrienne,Barbeau,Adrienne Barbeau,8259 Park Ranch Way,Sacramento,CA,94298,adrienne_b@aol.com,(916) 230-5762,7/19/2012,TRUE,F
471187,Rodney,Hannah,Rodney Hannah,9889 Austell Way,Herald,CA,95638,hrodney@icloud.com,(209) 301-1434,5/12/2013,FALSE,M
475216,Dustin,Pedroia,Dustin Pedroia,8397 Callecita St,Elk Grove,CA,95759,p_dustin@icloud.com,(916) 245-8676,5/18/2013,TRUE,M
478274,Dick,Jurgens,Dick Jurgens,8475 Anchor Bend Pl,Sacramento,CA,95832,d_jurgens@fastmail.com,(916) 446-1961,5/4/2013,TRUE,M
479497,Donna,Ramage,Donna Ramage,4243 San Felice Cir,Mather,CA,95655,donna_r27@icloud.com,(916) 204-7628,11/19/2012,TRUE,F
480298,Greg,Knapp,Greg Knapp,5226 Hatteras Way,Sacramento,CA,95836,k.greg@zoho.com,(916) 824-0392,8/26/2012,TRUE,M
482274,Jayne,Collins,Jayne Collins,4349 Westholme Way,Sacramento,CA,94280,jayne_c@mail.com,(916) 857-1003,7/26/2012,FALSE,F
484909,Raphael,Saadiq,Raphael Saadiq,4593 Havenwood Cir,Sacramento,CA,94293,r.saadiq@outlook.com,(916) 677-6106,6/4/2013,FALSE,M
485769,Merrin,Dungey,Merrin Dungey,7988 Sam Ave,Sacramento,CA,95822,m_dungey@mail.com,(916) 402-1034,8/4/2013,FALSE,M
487346,Herb,Caen,Herb Caen,9371 Laura Ct,Sacramento,CA,94249,caen_h40@fastmail.com,(916) 230-5705,6/10/2013,FALSE,M
488295,Johnny,Colla,Johnny Colla,7550 Homeland Ct,Sacramento,CA,94287,colla_j@hotmail.com,(916) 346-3985,12/20/2012,FALSE,M
488803,Brittney,Pardue,Brittney Pardue,8459 Kit Ln,Sacramento,CA,94271,pbrittney@outlook.com,(916) 738-8334,9/20/2012,TRUE,F
491380,Eric,Lynch,Eric Lynch,99 Rushden Dr,Rancho Murieta,CA,95683,lynche@aol.com,(916) 192-3665,11/16/2012,FALSE,M
493552,Adrian,Ross,Adrian Ross,3850 Jo Ann Dr,Orangevale,CA,95662,adrian_r@yahoo.com,(916) 150-3390,4/13/2013,FALSE,M
494106,Margie,Kowalewski,Margie Kowalewski,8880 Trouville Ln,Sacramento,CA,95825,margiek@gmail.com,(916) 941-9509,8/26/2013,TRUE,F
498153,Jennifer,O'Brian,Jennifer O'Brian,2814 Deer Cross Way,Sacramento,CA,94245,jennifer_o@aol.com,(916) 321-8193,8/10/2012,FALSE,F
498970,Katie,Calkins,Katie Calkins,6705 Sandpointe Ct,Sacramento,CA,94259,calkinsk@yahoo.com,(916) 657-9280,1/16/2013,TRUE,F
500350,Cheryl,Burgess,Cheryl Burgess,7675 Jefferson St,Elk Grove,CA,95758,burgess.c@gmail.com,(916) 269-4240,6/2/2013,TRUE,F
500733,Don,Verlin,Don Verlin,7102 Windward Way,Sacramento,CA,94247,verlind80@icloud.com,(916) 230-6170,11/29/2012,FALSE,M
500828,Rae,Carruth,Rae Carruth,6322 Carle Ln,Sacramento,CA,94258,c.rae86@gmail.com,(916) 319-1919,10/30/2012,TRUE,M
507743,May,O'Donnell,May O'Donnell,5158 Hopkins St,Sacramento,CA,94282,m.o'donnell@fastmail.com,(916) 685-2892,3/19/2013,FALSE,F
513968,Giselle,Fernández,Giselle Fernández,2817 Mossbeach Ct,Sacramento,CA,95826,gfernández53@hotmail.com,(916) 103-8770,11/27/2012,TRUE,F
515753,Jeff,Watson,Jeff Watson,2793 York Glen Way,Sacramento,CA,94279,jwatson51@fastmail.com,(916) 961-3375,4/6/2013,FALSE,M
515790,Cornel,West,Cornel West,6210 Maple Crest St,Sacramento,CA,94267,west.c@mail.com,(916) 228-0630,1/15/2013,TRUE,M
516619,Nick,Johnson,Nick Johnson,5112 Turret Ct,Sacramento,CA,94280,nickj@zoho.com,(916) 674-7673,5/30/2013,FALSE,M
517477,Sherri,Pickett,Sherri Pickett,2143 Harding Ave,Sacramento,CA,94263,sherri.p24@aol.com,(916) 399-9064,3/7/2013,TRUE,F
520078,Don,Doll,Don Doll,2043 Maruyama Ct,Rancho Cordova,CA,95741,dolld@mail.com,(916) 308-6852,3/19/2013,TRUE,M
520196,Cindy,Stilwell,Cindy Stilwell,7155 Grovehill Way,Sacramento,CA,95823,c_stilwell@outlook.com,(916) 633-3093,4/23/2013,FALSE,F
520377,Donte,Stallworth,Donte Stallworth,1811 Rio Barco Way,McClellan,CA,95652,donte_s@yahoo.com,(916) 238-0492,6/13/2013,FALSE,M
524667,Summer,Sanders,Summer Sanders,9744 Martinson Ct,Sacramento,CA,94239,ssanders34@hotmail.com,(916) 101-7730,7/1/2013,FALSE,F
528475,Pam,Verdin,Pam Verdin,5839 Funston Dr,Sacramento,CA,94274,v_pam@outlook.com,(916) 510-0087,11/22/2012,FALSE,F
534481,Joyce,Judd,Joyce Judd,2247 Risley Ct,Sacramento,CA,95836,judd.j11@outlook.com,(916) 540-0219,1/20/2013,FALSE,F
537796,Michael,Hedges,Michael Hedges,860 Watson St,Rancho Murieta,CA,95683,michaelh@hotmail.com,(916) 865-8379,10/22/2012,FALSE,M
537860,Brandi,Angulo,Brandi Angulo,4811 Ute River Ct,Carmichael,CA,95609,a_brandi@hotmail.com,(916) 427-1148,10/21/2012,TRUE,F
547890,Joe,Carnahan,Joe Carnahan,5017 Sawyer Cir,Rancho Cordova,CA,95741,joe_c@zoho.com,(916) 317-6443,5/17/2013,FALSE,M
548546,Mike,Burton,Mike Burton,5838 Chantry Ct,Herald,CA,95638,m.burton@mail.com,(209) 497-3239,5/24/2013,FALSE,M
548800,Katherine,Kayes,Katherine Kayes,8961 Prudhoe Ct,Sacramento,CA,95811,katherine.k18@zoho.com,(916) 383-5139,3/9/2013,TRUE,F
549823,Delano,Thomas,Delano Thomas,3754 Bold Ln,Rancho Cordova,CA,95670,thomas.d@aol.com,(916) 839-7227,8/22/2013,TRUE,M
550661,Katie,Spears,Katie Spears,8166 Los Gatos Cir,Sacramento,CA,95815,katie_s@aol.com,(916) 179-5393,4/11/2013,TRUE,F
550824,Ken,O'Brien,Ken O'Brien,137 Greenview Ln,Sacramento,CA,95823,o'brienk@hotmail.com,(916) 727-6155,7/29/2013,TRUE,M
551950,Rick,Cunningham,Rick Cunningham,7594 Nimitz St,Orangevale,CA,95662,c.rick@zoho.com,(916) 907-8094,8/21/2012,TRUE,M
552124,Rose,Melberg,Rose Melberg,7891 Red River Ct,Sacramento,CA,94230,rose_m@yahoo.com,(916) 510-2609,2/14/2013,TRUE,F
553931,Bob,Jones,Bob Jones,4162 Wegat Ln,Sacramento,CA,95816,jones.b@mail.com,(916) 545-5261,7/28/2012,TRUE,M
554099,Ruth,Wilhelm,Ruth Wilhelm,6734 Cortez Ln,Sacramento,CA,95865,wilhelm_r@yahoo.com,(916) 193-3954,9/6/2013,TRUE,F
556152,Mary,Love,Mary Love,8866 Kincaid Way,Sacramento,CA,95833,l.mary@zoho.com,(916) 545-8736,9/28/2012,TRUE,F
556619,Laura,Michalski,Laura Michalski,2230 Vichy Cir,Sacramento,CA,94206,l.michalski@gmail.com,(916) 893-7997,9/21/2012,TRUE,F
558749,Haley,Anderson,Haley Anderson,7803 La Casa Way,Sacramento,CA,95832,a_haley@zoho.com,(916) 729-4309,3/30/2013,TRUE,F
559054,Bill,Cartwright,Bill Cartwright,1523 Warrington Ct,Sacramento,CA,94203,cartwright_b@zoho.com,(916) 764-1007,10/27/2012,TRUE,M
559190,Eric,Thomas,Eric Thomas,7885 W Vista Way,Sacramento,CA,94278,e_thomas27@icloud.com,(916) 304-8521,8/3/2013,FALSE,M
559486,Emily,Eyre,Emily Eyre,2165 Blackridge Ave,Sacramento,CA,94259,emilye@icloud.com,(916) 382-5492,9/11/2012,TRUE,F
559688,Maria,Pace,Maria Pace,1309 Clothier Way,Sacramento,CA,95836,mariap@aol.com,(916) 748-1662,6/1/2013,TRUE,F
561305,Morton,Downey,Morton Downey,6272 Mesa Grande Ct,Sacramento,CA,94248,morton_d@mail.com,(916) 741-9814,3/15/2013,TRUE,M
563468,Mildred,Deluca,Mildred Deluca,8844 Northview Dr,Folsom,CA,95630,deluca_m@icloud.com,(916) 159-2675,7/3/2012,TRUE,F
563500,Sally,Otten,Sally Otten,5550 Dresher Park Way,Sacramento,CA,95842,s_otten@gmail.com,(916) 323-8422,10/20/2012,FALSE,F
565259,Don,Imus,Don Imus,5747 Desi Way,Sacramento,CA,95899,d_imus@hotmail.com,(916) 227-9089,6/18/2013,FALSE,M
566192,Eileen,Payton,Eileen Payton,5037 Tierra Green Way,North Highlands,CA,95660,p_eileen@mail.com,(916) 306-5319,12/21/2012,TRUE,F
567388,Lynn,Anderson,Lynn Anderson,33 Lupine Field Ct,Sacramento,CA,95827,alynn78@zoho.com,(916) 688-2912,9/18/2012,FALSE,F
567719,Ramona,Keegan,Ramona Keegan,760 Winfield Way,Sacramento,CA,94246,r.keegan80@mail.com,(916) 829-5606,7/30/2013,TRUE,F
568217,Bessie,Major,Bessie Major,6465 Tarragon Ct,Sacramento,CA,94254,b_major42@mail.com,(916) 978-4947,8/18/2013,TRUE,F
575041,Larry,Bowa,Larry Bowa,8342 Minden Ct,Sacramento,CA,94240,bowa.l@icloud.com,(916) 219-4634,7/18/2013,TRUE,M
575903,Carlos,Alazraqui,Carlos Alazraqui,1679 Windsong Ct,Sacramento,CA,94244,alazraquic@icloud.com,(916) 541-0130,2/24/2013,FALSE,M
578275,Jennifer,Rosenheim,Jennifer Rosenheim,9162 Hilldale Rd,Sacramento,CA,94262,j.rosenheim@outlook.com,(916) 829-6492,12/17/2012,TRUE,F
580674,Kort,Schubert,Kort Schubert,9119 Smoketree Dr,Sacramento,CA,94297,skort@zoho.com,(916) 783-0129,7/14/2013,TRUE,M
580783,Christine,Hamilton,Christine Hamilton,5617 Scrub Oak Way,Sacramento,CA,94286,christine.h@fastmail.com,(916) 882-5291,2/6/2013,FALSE,F
585972,Juan,Lazcano,Juan Lazcano,4293 Timbercreek Way,Orangevale,CA,95662,jlazcano@mail.com,(916) 805-7891,3/25/2013,FALSE,M
586201,Sylvia,Russell,Sylvia Russell,3016 Alden Way,Fair Oaks,CA,95628,srussell@yahoo.com,(916) 232-2685,7/20/2013,TRUE,F
590517,Constance,Jeter,Constance Jeter,2194 Greenhead Ct,Sacramento,CA,94245,j_constance@icloud.com,(916) 795-1275,5/4/2013,TRUE,F
590616,Jim,Eakins,Jim Eakins,7257 Capitol Mall,Sacramento,CA,95853,eakins_j@mail.com,(916) 426-9268,10/15/2012,TRUE,M
592528,Geoff,Jenkins,Geoff Jenkins,4024 Merton Way,Sacramento,CA,94234,j.geoff@aol.com,(916) 758-1992,6/1/2013,TRUE,M
592592,Laura,Brooks,Laura Brooks,6107 Socorro Way,Sacramento,CA,95831,b.laura@zoho.com,(916) 473-8657,6/25/2013,TRUE,F
592726,Janet,Saville,Janet Saville,4779 Mountain View Ave,Sacramento,CA,94235,janet_s@icloud.com,(916) 618-3768,10/24/2012,TRUE,F
593317,Betty,Carvajal,Betty Carvajal,9229 Portinao Cir,Sacramento,CA,94268,b_carvajal95@icloud.com,(916) 913-8104,7/27/2013,FALSE,F
599995,Miguel,Ponce,Miguel Ponce,657 Mafic Ct,Sacramento,CA,95813,mponce80@yahoo.com,(916) 948-7350,6/17/2013,FALSE,M
601753,Dominic,Sandoval,Dominic Sandoval,4838 Loma Linda Ct,Sacramento,CA,94284,s.dominic@outlook.com,(916) 740-5700,11/27/2012,FALSE,M
605188,Glenda,Tedford,Glenda Tedford,2566 Tamworth Way,Fair Oaks,CA,95628,t.glenda@fastmail.com,(916) 789-4640,4/27/2013,TRUE,F
606155,Bertha,Slone,Bertha Slone,6313 Stonefield Ct,Sacramento,CA,94295,b.slone@zoho.com,(916) 623-1617,6/16/2013,FALSE,F
607810,Delores,Lang,Delores Lang,4194 Vowell St,Sacramento,CA,94239,lang.d95@mail.com,(916) 268-4463,9/11/2013,TRUE,F
608290,Joan,Lunden,Joan Lunden,4245 Drawbridge Ct,Sacramento,CA,94287,l_joan67@yahoo.com,(916) 606-6818,4/1/2013,TRUE,F
610766,Dick,Ruthven,Dick Ruthven,6783 Los Padres Way,Sacramento,CA,94205,r_dick@aol.com,(916) 535-3358,7/3/2012,TRUE,M
611078,Marcus,Arroyo,Marcus Arroyo,7078 Crooked Stick Dr,Sacramento,CA,95867,marcus_a@icloud.com,(916) 425-0218,6/4/2013,TRUE,M
611848,Henry,Hathaway,Henry Hathaway,2448 Johanson Cir,Sacramento,CA,94293,hathaway.h@gmail.com,(916) 589-8515,5/30/2013,FALSE,M
612681,Colin,Hanks,Colin Hanks,4957 Alderwood Way,Antelope,CA,95843,colin_h@zoho.com,(916) 450-4918,6/10/2013,TRUE,M
616028,Janet,Corcoran,Janet Corcoran,9774 W Harvard Ave,Folsom,CA,95630,corcoranj@mail.com,(916) 695-5603,8/7/2012,FALSE,F
616258,Jessica,Alcorn,Jessica Alcorn,1187 Outer Banks Pl,Sacramento,CA,95820,alcorn_j@fastmail.com,(916) 718-7660,2/3/2013,TRUE,F
616392,Jarrett,Bush,Jarrett Bush,5748 Scotty Way,Sacramento,CA,95812,jbush@fastmail.com,(916) 112-5635,7/11/2013,TRUE,M
618955,Nick,Watney,Nick Watney,3799 Kahara Ct,Sacramento,CA,94236,n_watney32@gmail.com,(916) 570-1567,7/14/2013,TRUE,M
619910,Daniel,Fells,Daniel Fells,4887 Doreen Way,Sacramento,CA,95840,d.fells@zoho.com,(916) 284-9060,5/10/2013,TRUE,M
622131,Lonie,Paxton,Lonie Paxton,3468 Elvas Fwy,Rancho Cordova,CA,95742,l.paxton@aol.com,(916) 751-0019,6/29/2013,FALSE,M
622506,Cassandra,Davis,Cassandra Davis,150 Stacy Ave,Sacramento,CA,94290,c.davis@icloud.com,(916) 546-7263,7/12/2013,TRUE,F
624668,Ann,Bannon,Ann Bannon,4399 Irma Way,Citrus Heights,CA,95611,annb88@icloud.com,(916) 378-1352,10/8/2012,FALSE,F
627324,Bob,Elliott,Bob Elliott,792 Green Glen Way,Sacramento,CA,94254,e_bob@outlook.com,(916) 217-2551,4/13/2013,FALSE,M
628132,Susan,Kalvert,Susan Kalvert,4314 Jackdaw Ct,Folsom,CA,95630,s.kalvert@hotmail.com,(916) 892-7624,3/17/2013,TRUE,F
632495,Opal,Hillyer,Opal Hillyer,8545 Inlet Ct,Sacramento,CA,95818,hillyero@mail.com,(916) 431-3598,9/28/2012,FALSE,F
643214,Erik,Coleman,Erik Coleman,3257 Loma Mar Ct,Sacramento,CA,94298,c_erik@icloud.com,(916) 819-1014,1/13/2013,FALSE,M
643305,Taylor,Graham,Taylor Graham,7662 Blachly Way,Sacramento,CA,94277,g.taylor75@aol.com,(916) 119-0688,7/11/2012,FALSE,M
646700,Myra,Work,Myra Work,5698 Lirios Ave,Sacramento,CA,94205,myra_w@fastmail.com,(916) 476-6180,6/7/2013,TRUE,F
646953,Amber,Demers,Amber Demers,6484 Tywood Ct,Sacramento,CA,94299,amberd69@hotmail.com,(916) 639-1758,3/9/2013,TRUE,F
649551,Steve,Holm,Steve Holm,9489 Lori Ct,Sacramento,CA,95840,hsteve@hotmail.com,(916) 826-9471,11/17/2012,TRUE,M
651462,Toby,Hall,Toby Hall,7527 Stillwell Ct,Sacramento,CA,94229,htoby@mail.com,(916) 779-0784,8/20/2013,TRUE,M
656512,Joyce,Olson,Joyce Olson,2843 Savannah Ln,Sacramento,CA,95820,ojoyce@yahoo.com,(916) 139-0919,9/6/2012,FALSE,F
656728,Edith,Keenan,Edith Keenan,3026 N Edge Dr,Sacramento,CA,94284,edith.k@mail.com,(916) 115-4453,7/16/2012,FALSE,F
657495,Lauren,Ray,Lauren Ray,3530 Fletcher Farm Dr,Sacramento,CA,95819,l_ray28@mail.com,(916) 390-8677,2/1/2013,FALSE,F
657736,Mildred,Nester,Mildred Nester,596 Eileen Way,Sacramento,CA,95819,n.mildred@yahoo.com,(916) 482-0718,9/26/2012,TRUE,F
659695,Sydney,Crew,Sydney Crew,7835 Sergio Way,Elk Grove,CA,95759,sydney_c@icloud.com,(916) 365-8928,9/2/2013,TRUE,F
660634,Chris,Oldham,Chris Oldham,6285 Stretto Ct,North Highlands,CA,95660,oldhamc@icloud.com,(916) 823-0083,3/19/2013,TRUE,M
663029,Lynda,Ethridge,Lynda Ethridge,4440 Kinsella Ln,Citrus Heights,CA,95611,elynda76@mail.com,(916) 757-0053,10/2/2012,TRUE,F
664411,Anne,Boisvert,Anne Boisvert,2657 Danbrook Dr,Sacramento,CA,94294,anneb@icloud.com,(916) 750-3769,7/22/2013,TRUE,F
664934,Scott,Boras,Scott Boras,5033 Zoram Ct,Sacramento,CA,94203,scottb26@outlook.com,(916) 386-2950,7/28/2013,FALSE,M
665282,Constance,Wheat,Constance Wheat,3321 Southampton Way,Sacramento,CA,95828,cwheat41@mail.com,(916) 511-2041,9/4/2012,TRUE,F
665313,Michael,Stember,Michael Stember,8295 Grand View Rd,Sacramento,CA,94269,m_stember@fastmail.com,(916) 779-4110,7/4/2012,TRUE,M
667170,Vladimir,Sabich,Vladimir Sabich,9377 Nimes Ln,Sacramento,CA,94204,s_vladimir50@mail.com,(916) 766-0235,12/19/2012,TRUE,M
668931,Myrtle,Jackman,Myrtle Jackman,8844 Barr Way,Sacramento,CA,94258,j_myrtle@outlook.com,(916) 777-8875,12/25/2012,FALSE,F
670707,Brandon,League,Brandon League,8813 Pavilions Place Ln,Sacramento,CA,94294,l.brandon@fastmail.com,(916) 180-3183,8/29/2013,FALSE,M
671101,Kathy,Rowell,Kathy Rowell,7249 Wreyford Ct,Folsom,CA,95763,kathyr@gmail.com,(916) 434-7186,7/28/2013,TRUE,F
671363,Ricky,Reynolds,Ricky Reynolds,542 Odom Ct,Citrus Heights,CA,95621,ricky_r@icloud.com,(916) 588-5553,12/6/2012,TRUE,M
